time,torque,angle,rpm,step
425.5,4.26,54,56,1
426.0,4.29,54,56,1
426.5,4.23,54,56,1
427.0,4.29,54,56,1
427.5,4.35,54,56,1
428.0,4.38,54,56,1
428.5,4.32,54,56,1
429.0,4.35,55,56,1
429.5,4.41,55,56,1
430.0,4.41,55,56,1
430.5,4.47,55,56,1
431.0,4.44,55,56,1
431.5,4.44,55,56,1
432.0,4.47,55,55,1
432.5,4.47,55,55,1
433.0,4.5,56,55,1
433.5,4.53,56,55,1
434.0,4.53,56,55,1
434.5,4.53,56,54,1
435.0,4.59,56,54,1
435.5,4.62,56,54,1
436.0,4.62,56,54,1
436.5,4.59,57,54,1
437.0,4.62,57,53,1
437.5,4.65,57,53,1
438.0,4.68,57,53,1
438.5,4.74,57,53,1
439.0,4.68,57,53,1
439.5,4.71,57,52,1
440.0,4.74,57,52,1
440.5,4.71,58,53,1
441.0,4.71,58,53,1
441.5,4.74,58,53,1
442.0,4.71,58,53,1
442.5,4.8,58,53,1
443.0,4.8,58,54,1
443.5,4.8,58,54,1
444.0,4.83,58,54,1
444.5,4.8,59,54,1
445.0,4.8,59,54,1
445.5,4.8,59,55,1
446.0,4.86,59,55,1
446.5,4.89,59,55,1
447.0,4.89,59,55,1
447.5,4.89,59,55,1
448.0,4.86,60,55,1
448.5,4.91,60,55,1
449.0,4.89,60,55,1
449.5,4.89,60,55,1
450.0,4.91,60,55,1
450.5,4.97,60,55,1
451.0,4.97,60,55,1
451.5,4.97,60,55,1
452.0,5.0,61,54,1
452.5,5.03,61,54,1
453.0,4.97,61,54,1
453.5,5.0,61,54,1
460.0,4.23,53,57,1
460.5,4.23,53,56,1
461.0,4.23,54,56,1
461.5,4.26,54,56,1
462.0,4.29,54,56,1
462.5,4.23,54,56,1
463.0,4.29,54,56,1
463.5,4.35,54,56,1
464.0,4.38,54,56,1
464.5,4.32,54,56,1
465.0,4.35,55,56,1
465.5,4.41,55,56,1
466.0,4.41,55,56,1
466.5,4.47,55,56,1
467.0,4.44,55,56,1
467.5,4.44,55,56,1
468.0,4.47,55,55,1
468.5,4.47,55,55,1
469.0,4.5,56,55,1
469.5,4.53,56,55,1
470.0,4.53,56,55,1
470.5,4.53,56,54,1
471.0,4.59,56,54,1
471.5,4.62,56,54,1
472.0,4.62,56,54,1
472.5,4.59,57,54,1
473.0,4.62,57,53,1
473.5,4.65,57,53,1
474.0,4.68,57,53,1
474.5,4.74,57,53,1
475.0,4.68,57,53,1
475.5,4.71,57,52,1
476.0,4.74,57,52,1
476.5,4.71,58,53,1
477.0,4.71,58,53,1
477.5,4.74,58,53,1
478.0,4.71,58,53,1
478.5,4.8,58,53,1
479.0,4.8,58,54,1
479.5,4.8,58,54,1
480.0,4.83,58,54,1
480.5,4.8,59,54,1
481.0,4.8,59,54,1
481.5,4.8,59,55,1
482.0,4.86,59,55,1
482.5,4.89,59,55,1
483.0,4.89,59,55,1
483.5,4.89,59,55,1
484.0,4.86,60,55,1
484.5,4.91,60,55,1
485.0,4.89,60,55,1
485.5,4.89,60,55,1
486.0,4.91,60,55,1
486.5,4.97,60,55,1
487.0,4.97,60,55,1
487.5,4.97,60,55,1
488.0,5.0,61,54,1
488.5,5.03,61,54,1
489.0,4.97,61,54,1
489.5,5.0,61,54,1
490.0,4.23,53,57,1
490.5,4.23,53,56,1
491.0,4.23,54,56,1
491.5,4.26,54,56,1
492.0,4.29,54,56,1
492.5,4.23,54,56,1
493.0,4.29,54,56,1
493.5,4.35,54,56,1
494.0,4.38,54,56,1
494.5,4.32,54,56,1
495.0,4.35,55,56,1
495.5,4.41,55,56,1
496.0,4.41,55,56,1
496.5,4.47,55,56,1
497.0,4.44,55,56,1
497.5,4.44,55,56,1
498.0,4.47,55,55,1
498.5,4.47,55,55,1
499.0,4.5,56,55,1
499.5,4.53,56,55,1
500.0,4.53,56,55,1
500.5,4.53,56,54,1
501.0,4.59,56,54,1
501.5,4.62,56,54,1
502.0,4.62,56,54,1
502.5,4.59,57,54,1
503.0,4.62,57,53,1
503.5,4.65,57,53,1
504.0,4.68,57,53,1
504.5,4.74,57,53,1
505.0,4.68,57,53,1
505.5,4.71,57,52,1
506.0,4.74,57,52,1
506.5,4.71,58,53,1
507.0,4.71,58,53,1
507.5,4.74,58,53,1
508.0,4.71,58,53,1
508.5,4.8,58,53,1
509.0,4.8,58,54,1
509.5,4.8,58,54,1
510.0,4.83,58,54,1
510.5,4.8,59,54,1
511.0,4.8,59,54,1
511.5,4.8,59,55,1
512.0,4.86,59,55,1
512.5,4.89,59,55,1
513.0,4.89,59,55,1
513.5,4.89,59,55,1
514.0,4.86,60,55,1
514.5,4.91,60,55,1
515.0,4.89,60,55,1
515.5,4.89,60,55,1
516.0,4.91,60,55,1
516.5,4.97,60,55,1
517.0,4.97,60,55,1
517.5,4.97,60,55,1
518.0,5.0,61,54,1
518.5,5.03,61,54,1
519.0,4.97,61,54,1
519.5,5.0,61,54,1
522.0,4.23,53,57,1
522.5,4.23,53,56,1
523.0,4.23,54,56,1
523.5,4.26,54,56,1
524.0,4.29,54,56,1
524.5,4.23,54,56,1
525.0,4.29,54,56,1
525.5,4.35,54,56,1
526.0,4.38,54,56,1
526.5,4.32,54,56,1
527.0,4.35,55,56,1
527.5,4.41,55,56,1
528.0,4.41,55,56,1
528.5,4.47,55,56,1
529.0,4.44,55,56,1
529.5,4.44,55,56,1
530.0,4.47,55,55,1
530.5,4.47,55,55,1
531.0,4.5,56,55,1
531.5,4.53,56,55,1
532.0,4.53,56,55,1
532.5,4.53,56,54,1
533.0,4.59,56,54,1
533.5,4.62,56,54,1
534.0,4.62,56,54,1
534.5,4.59,57,54,1
535.0,4.62,57,53,1
535.5,4.65,57,53,1
536.0,4.68,57,53,1
536.5,4.74,57,53,1
537.0,4.68,57,53,1
537.5,4.71,57,52,1
538.0,4.74,57,52,1
538.5,4.71,58,53,1
539.0,4.71,58,53,1
539.5,4.74,58,53,1
540.0,4.71,58,53,1
540.5,4.8,58,53,1
541.0,4.8,58,54,1
541.5,4.8,58,54,1
542.0,4.83,58,54,1
542.5,4.8,59,54,1
543.0,4.8,59,54,1
543.5,4.8,59,55,1
544.0,4.86,59,55,1
544.5,4.89,59,55,1
545.0,4.89,59,55,1
545.5,4.89,59,55,1
546.0,4.86,60,55,1
546.5,4.91,60,55,1
547.0,4.89,60,55,1
547.5,4.89,60,55,1
548.0,4.91,60,55,1
548.5,4.97,60,55,1
549.0,4.97,60,55,1
549.5,4.97,60,55,1
550.0,5.0,61,54,1
550.5,5.03,61,54,1
551.0,4.97,61,54,1
551.5,5.0,61,54,1
553.0,4.23,53,57,1
553.5,4.23,53,56,1
554.0,4.23,54,56,1
554.5,4.26,54,56,1
555.0,4.29,54,56,1
555.5,4.23,54,56,1
556.0,4.29,54,56,1
556.5,4.35,54,56,1
557.0,4.38,54,56,1
557.5,4.32,54,56,1
558.0,4.35,55,56,1
558.5,4.41,55,56,1
559.0,4.41,55,56,1
559.5,4.47,55,56,1
560.0,4.44,55,56,1
560.5,4.44,55,56,1
561.0,4.47,55,55,1
561.5,4.47,55,55,1
562.0,4.5,56,55,1
562.5,4.53,56,55,1
563.0,4.53,56,55,1
563.5,4.53,56,54,1
564.0,4.59,56,54,1
564.5,4.62,56,54,1
565.0,4.62,56,54,1
565.5,4.59,57,54,1
566.0,4.62,57,53,1
566.5,4.65,57,53,1
567.0,4.68,57,53,1
567.5,4.74,57,53,1
568.0,4.68,57,53,1
568.5,4.71,57,52,1
569.0,4.74,57,52,1
569.5,4.71,58,53,1
570.0,4.71,58,53,1
570.5,4.74,58,53,1
571.0,4.71,58,53,1
571.5,4.8,58,53,1
572.0,4.8,58,54,1
572.5,4.8,58,54,1
573.0,4.83,58,54,1
